t,f_hat
2.500000,60.008207
2.500100,59.995506
2.500200,59.983324
2.500300,59.992120
2.500400,60.007679
2.500500,60.012951
2.500600,60.017076
2.500700,60.016511
2.500800,60.016718
2.500900,60.013825
2.501000,60.014081
2.501100,60.014272
2.501200,60.014675
2.501300,60.015993
2.501400,60.015524
2.501500,60.014327
2.501600,60.013558
2.501700,60.013769
2.501800,60.015505
2.501900,60.014419
2.502000,60.013648
2.502100,60.015086
2.502200,60.014349
2.502300,60.014955
2.502400,60.015027
2.502500,60.014831
2.502600,60.014568
2.502700,60.014985
2.502800,60.014453
2.502900,60.014118
2.503000,60.014445
2.503100,60.015127
2.503200,60.015076
2.503300,60.014971
2.503400,60.015293
2.503500,60.015319
2.503600,60.014300
2.503700,60.014757
2.503800,60.014632
2.503900,60.015539
2.504000,60.015585
2.504100,60.015839
2.504200,60.015277
2.504300,60.014842
2.504400,60.015142
2.504500,60.016035
2.504600,60.015110
2.504700,60.015498
2.504800,60.015813
2.504900,60.014558
2.505000,60.014803
2.505100,60.015435
2.505200,60.014519
2.505300,60.014889
2.505400,60.014691
2.505500,60.015262
2.505600,60.015035
2.505700,60.015575
2.505800,60.013859
2.505900,60.014975
2.506000,60.014334
2.506100,60.016713
2.506200,60.014813
2.506300,60.013298
2.506400,60.014057
2.506500,60.014623
2.506600,60.015771
2.506700,60.015270
2.506800,60.016365
2.506900,60.016962
2.507000,60.018639
2.507100,60.018346
2.507200,60.018208
2.507300,60.011677
2.507400,60.006387
2.507500,60.015389
2.507600,60.009280
2.507700,60.003401
2.507800,60.011846
2.507900,60.001305
2.508000,60.014647
2.508100,60.004877
2.508200,59.991144
2.508300,60.004937
2.508400,60.003327
2.508500,60.008853
2.508600,60.001619
2.508700,60.006166
2.508800,59.995780
2.508900,59.997358
2.509000,59.996629
2.509100,59.991713
2.509200,59.992755
2.509300,59.993482
2.509400,59.993691
2.509500,59.994106
2.509600,59.993126
2.509700,59.993522
2.509800,59.992054
2.509900,59.991752
2.510000,59.991632
2.510100,59.991949
2.510200,59.992482
2.510300,59.992849
2.510400,59.991643
2.510500,59.992736
2.510600,59.991497
2.510700,59.991377
2.510800,59.991418
2.510900,59.992259
2.511000,59.993455
2.511100,59.993862
2.511200,59.993212
2.511300,59.992513
2.511400,59.992834
2.511500,59.993329
2.511600,59.993339
2.511700,59.993286
2.511800,59.992580
2.511900,59.992547
2.512000,59.992752
2.512100,59.992581
2.512200,59.992005
2.512300,59.991586
2.512400,59.990994
2.512500,59.992003
2.512600,59.992618
2.512700,59.992825
2.512800,59.992518
2.512900,59.991819
2.513000,59.992460
2.513100,59.991280
2.513200,59.992632
2.513300,59.992481
2.513400,59.992054
2.513500,59.992538
2.513600,59.992013
2.513700,59.991893
2.513800,59.992906
2.513900,59.993468
2.514000,59.993149
2.514100,59.994687
2.514200,59.992876
2.514300,59.995117
2.514400,59.996169
2.514500,59.994212
2.514600,59.993289
2.514700,59.994836
2.514800,59.992895
