t,real_f,real_v,RA_EKF,IpDFT
2.500000,60.000001,0.025649,60.008207,60.000000
2.500100,60.000001,0.029065,59.995506,60.000000
2.500200,60.000001,0.064587,59.983324,60.000000
2.500300,60.000001,0.124428,59.992120,60.000000
2.500400,60.000001,0.176673,60.007679,60.000000
2.500500,60.000001,0.203152,60.012951,60.000000
2.500600,60.000001,0.242655,60.017076,60.000000
2.500700,60.000001,0.271147,60.016511,60.000000
2.500800,60.000001,0.310328,60.016718,60.000000
2.500900,60.000001,0.316857,60.013825,60.000000
2.501000,60.000001,0.379655,60.014081,60.000000
2.501100,60.000001,0.426368,60.014272,60.000000
2.501200,60.000001,0.413175,60.014675,60.000000
2.501300,60.000001,0.452062,60.015993,60.000000
2.501400,60.000001,0.509280,60.015524,60.000000
2.501500,60.000001,0.552855,60.014327,60.000000
2.501600,60.000001,0.583947,60.013558,60.000000
2.501700,60.000001,0.604560,60.013769,60.000000
2.501800,60.000001,0.611789,60.015505,60.000000
2.501900,60.000001,0.671560,60.014419,60.000000
2.502000,60.000001,0.701684,60.013648,60.000000
2.502100,60.000001,0.696381,60.015086,60.000000
2.502200,60.000001,0.750169,60.014349,60.000000
2.502300,60.000001,0.755561,60.014955,60.000000
2.502400,60.000001,0.784835,60.015027,60.000000
2.502500,60.000001,0.812240,60.014831,60.000000
2.502600,60.000001,0.837083,60.014568,60.000000
2.502700,60.000001,0.843907,60.014985,60.000000
2.502800,60.000001,0.881403,60.014453,60.000000
2.502900,60.000001,0.900648,60.014118,60.000000
2.503000,60.000001,0.903494,60.014445,60.000000
2.503100,60.000001,0.905562,60.015127,60.000000
2.503200,60.000001,0.930764,60.015076,60.000000
2.503300,60.000001,0.945362,60.014971,60.000000
2.503400,60.000001,0.946128,60.015293,60.000000
2.503500,60.000001,0.960002,60.015319,60.000000
2.503600,60.000001,0.998994,60.014300,60.000000
2.503700,60.000001,0.976143,60.014757,60.000000
2.503800,60.000001,0.992145,60.014632,60.000000
2.503900,60.000001,0.969854,60.015539,60.000000
2.504000,60.000001,0.984554,60.015585,60.000000
2.504100,60.000001,0.979942,60.015839,60.000000
2.504200,60.000001,0.998178,60.015277,60.000000
2.504300,60.000001,1.000143,60.014842,60.000000
2.504400,60.000001,0.984132,60.015142,60.000000
2.504500,60.000001,0.962464,60.016035,60.000000
2.504600,60.000001,0.990330,60.015110,60.000000
2.504700,60.000001,0.962842,60.015498,60.000000
2.504800,60.000001,0.952341,60.015813,60.000000
2.504900,60.000001,0.972909,60.014558,60.000000
2.505000,60.000001,0.942604,60.014803,60.000000
2.505100,60.000001,0.920809,60.015435,60.000000
2.505200,60.000001,0.930680,60.014519,60.000000
2.505300,60.000001,0.899818,60.014889,60.000000
2.505400,60.000001,0.890209,60.014691,60.000000
2.505500,60.000001,0.861961,60.015262,60.000000
2.505600,60.000001,0.851476,60.015035,60.000000
2.505700,60.000001,0.822118,60.015575,60.000000
2.505800,60.000001,0.827495,60.013859,60.000000
2.505900,60.000001,0.778896,60.014975,60.000000
2.506000,60.000001,0.770300,60.014334,60.000000
2.506100,60.000001,0.716978,60.016713,60.000000
2.506200,60.000001,0.725915,60.014813,60.000000
2.506300,60.000001,0.700195,60.013298,60.000000
2.506400,60.000001,0.657631,60.014057,60.000000
2.506500,60.000001,0.628645,60.014623,60.000000
2.506600,60.000001,0.594049,60.015771,60.000000
2.506700,60.000001,0.572213,60.015270,60.000000
2.506800,60.000001,0.532706,60.016365,60.000000
2.506900,60.000001,0.502167,60.016962,60.000000
2.507000,60.000001,0.464221,60.018639,60.000000
2.507100,60.000001,0.437994,60.018346,60.000000
2.507200,60.000001,0.403854,60.018208,60.000000
2.507300,60.000001,0.389684,60.011677,60.000000
2.507400,60.000001,0.352672,60.006387,60.000000
2.507500,60.000001,0.283653,60.015389,60.000000
2.507600,60.000001,0.278654,60.009280,60.000000
2.507700,60.000001,0.241875,60.003401,60.000000
2.507800,60.000001,0.160459,60.011846,60.000000
2.507900,60.000001,0.171684,60.001305,60.000000
2.508000,60.000001,0.103372,60.014647,60.000000
2.508100,60.000001,0.093007,60.004877,60.000000
2.508200,60.000001,0.076256,59.991144,60.000000
2.508300,60.000001,-0.005939,60.004937,60.000000
2.508400,60.000001,-0.029162,60.003327,60.000000
2.508500,60.000001,-0.074234,60.008853,60.000000
2.508600,60.000001,-0.098675,60.001619,60.000000
2.508700,60.000001,-0.149095,60.006166,60.000000
2.508800,60.000001,-0.164842,59.995780,60.000000
2.508900,60.000001,-0.217990,59.997358,60.000000
2.509000,60.000001,-0.249734,59.996629,60.000000
2.509100,60.000001,-0.258875,59.991713,60.000000
2.509200,60.000001,-0.324063,59.992755,60.000000
