t,f_hat
2.500000,59.481646
2.500100,59.481554
2.500200,59.481536
2.500300,59.481802
2.500400,59.481434
2.500500,59.481221
2.500600,59.481430
2.500700,59.481021
2.500800,59.481351
2.500900,59.482198
2.501000,59.481967
2.501100,59.481970
2.501200,59.481089
2.501300,59.481368
2.501400,59.481462
2.501500,59.482293
2.501600,59.481991
2.501700,59.483075
2.501800,59.482910
2.501900,59.481173
2.502000,59.483063
2.502100,59.482884
2.502200,59.481119
2.502300,59.480493
2.502400,59.482366
2.502500,59.483062
2.502600,59.481162
2.502700,59.483940
2.502800,59.484994
2.502900,59.484210
2.503000,59.483137
2.503100,59.488394
2.503200,59.487788
2.503300,59.488218
2.503400,59.486336
2.503500,59.487275
2.503600,59.482909
2.503700,59.493105
2.503800,59.488261
2.503900,59.471331
2.504000,59.471929
2.504100,59.477235
2.504200,59.470415
2.504300,59.473499
2.504400,59.467082
2.504500,59.481905
2.504600,59.487482
2.504700,59.490835
2.504800,59.494283
2.504900,59.493292
2.505000,59.493279
2.505100,59.493276
2.505200,59.494600
2.505300,59.495494
2.505400,59.496381
2.505500,59.494853
2.505600,59.493873
2.505700,59.494914
2.505800,59.495217
2.505900,59.494993
2.506000,59.494351
2.506100,59.494676
2.506200,59.495119
2.506300,59.494680
2.506400,59.495025
2.506500,59.494749
2.506600,59.494725
2.506700,59.494589
2.506800,59.494710
2.506900,59.494655
2.507000,59.494996
2.507100,59.494301
2.507200,59.494452
2.507300,59.494436
2.507400,59.494752
2.507500,59.494337
2.507600,59.494472
2.507700,59.494176
2.507800,59.494486
2.507900,59.494461
2.508000,59.494722
2.508100,59.494612
2.508200,59.494813
2.508300,59.494082
2.508400,59.494673
2.508500,59.494253
2.508600,59.494627
2.508700,59.494874
2.508800,59.494527
2.508900,59.494806
2.509000,59.494698
2.509100,59.494651
2.509200,59.494074
2.509300,59.494169
2.509400,59.494086
2.509500,59.494611
2.509600,59.494167
2.509700,59.494598
2.509800,59.494019
2.509900,59.494421
2.510000,59.494849
2.510100,59.494816
2.510200,59.495648
2.510300,59.495492
2.510400,59.495475
2.510500,59.494153
2.510600,59.494434
2.510700,59.492585
2.510800,59.495139
2.510900,59.496146
2.511000,59.494872
2.511100,59.494972
2.511200,59.496708
2.511300,59.500899
2.511400,59.497531
2.511500,59.496920
2.511600,59.491181
2.511700,59.495730
2.511800,59.502943
2.511900,59.498202
2.512000,59.487439
2.512100,59.475060
2.512200,59.472225
2.512300,59.480965
2.512400,59.489504
2.512500,59.469019
2.512600,59.480772
2.512700,59.489247
2.512800,59.499986
2.512900,59.510813
2.513000,59.511205
2.513100,59.512199
2.513200,59.507340
2.513300,59.504589
2.513400,59.504222
2.513500,59.504431
2.513600,59.503284
2.513700,59.502317
2.513800,59.501124
2.513900,59.501288
2.514000,59.501661
2.514100,59.500170
2.514200,59.500691
2.514300,59.501971
2.514400,59.501044
2.514500,59.501125
2.514600,59.501346
2.514700,59.501658
2.514800,59.501921
2.514900,59.501825
2.515000,59.502319
2.515100,59.502164
2.515200,59.501765
2.515300,59.501852
2.515400,59.502253
2.515500,59.501787
2.515600,59.501922
2.515700,59.501842
2.515800,59.501918
2.515900,59.502138
2.516000,59.501988
2.516100,59.502002
2.516200,59.502184
2.516300,59.501906
2.516400,59.502164
2.516500,59.502174
2.516600,59.501805
2.516700,59.501975
2.516800,59.502270
2.516900,59.501810
2.517000,59.501736
2.517100,59.501819
2.517200,59.501376
2.517300,59.501890
2.517400,59.502043
2.517500,59.501681
2.517600,59.502096
2.517700,59.501627
2.517800,59.502536
2.517900,59.502453
2.518000,59.502433
2.518100,59.501582
2.518200,59.501558
2.518300,59.502249
2.518400,59.502169
2.518500,59.501513
2.518600,59.500561
2.518700,59.501102
2.518800,59.501768
2.518900,59.503280
2.519000,59.501879
2.519100,59.502836
2.519200,59.502198
2.519300,59.502604
2.519400,59.503455
2.519500,59.505848
2.519600,59.505838
2.519700,59.504221
2.519800,59.503968
2.519900,59.507337
2.520000,59.504527
2.520100,59.502912
2.520200,59.501627
2.520300,59.495345
2.520400,59.506685
2.520500,59.505086
2.520600,59.494570
2.520700,59.510948
2.520800,59.528473
2.520900,59.525123
2.521000,59.531853
2.521100,59.519417
2.521200,59.513344
2.521300,59.513327
2.521400,59.510161
2.521500,59.512270
2.521600,59.512301
2.521700,59.514785
2.521800,59.514099
2.521900,59.513938
2.522000,59.513573
2.522100,59.513408
2.522200,59.512259
2.522300,59.511315
2.522400,59.512586
2.522500,59.513798
2.522600,59.514049
2.522700,59.513478
2.522800,59.513347
2.522900,59.513650
2.523000,59.513209
2.523100,59.512994
2.523200,59.513610
2.523300,59.513795
2.523400,59.513050
2.523500,59.513138
2.523600,59.513461
2.523700,59.512980
2.523800,59.512721
2.523900,59.512843
2.524000,59.513255
2.524100,59.512955
2.524200,59.513379
2.524300,59.513170
2.524400,59.513416
2.524500,59.513480
2.524600,59.513033
2.524700,59.512606
2.524800,59.512954
2.524900,59.513291
2.525000,59.513419
2.525100,59.513341
2.525200,59.513282
2.525300,59.512790
2.525400,59.513416
2.525500,59.513343
2.525600,59.513143
2.525700,59.513566
2.525800,59.513181
2.525900,59.512625
2.526000,59.512927
2.526100,59.513108
2.526200,59.512750
2.526300,59.513444
2.526400,59.513761
2.526500,59.513423
2.526600,59.512844
2.526700,59.513406
2.526800,59.514048
2.526900,59.514073
2.527000,59.514098
2.527100,59.512486
2.527200,59.513244
2.527300,59.513282
2.527400,59.514241
2.527500,59.512730
2.527600,59.512106
2.527700,59.509112
2.527800,59.512479
2.527900,59.513495
2.528000,59.513631
