t,real_f,real_v,RA_EKF,IpDFT
2.500000,59.500000,-1.001215,59.481646,60.000000
2.500100,59.500000,-1.005146,59.481554,60.000000
2.500200,59.500000,-1.002535,59.481536,60.000000
2.500300,59.500000,-0.991903,59.481802,60.000000
2.500400,59.500000,-0.998131,59.481434,60.000000
2.500500,59.500000,-0.993733,59.481221,60.000000
2.500600,59.500000,-0.979694,59.481430,60.000000
2.500700,59.500000,-0.980755,59.481021,60.000000
2.500800,59.500000,-0.960765,59.481351,60.000000
2.500900,59.500000,-0.934444,59.482198,60.000000
2.501000,59.500000,-0.931363,59.481967,60.000000
2.501100,59.500000,-0.915339,59.481970,60.000000
2.501200,59.500000,-0.914130,59.481089,60.000000
2.501300,59.500000,-0.887988,59.481368,60.000000
2.501400,59.500000,-0.869792,59.481462,60.000000
2.501500,59.500000,-0.839678,59.482293,60.000000
2.501600,59.500000,-0.827295,59.481991,60.000000
2.501700,59.500000,-0.791560,59.483075,60.000000
2.501800,59.500000,-0.775710,59.482910,60.000000
2.501900,59.500000,-0.771119,59.481173,60.000000
2.502000,59.500000,-0.720725,59.483063,60.000000
2.502100,59.500000,-0.703080,59.482884,60.000000
2.502200,59.500000,-0.689289,59.481119,60.000000
2.502300,59.500000,-0.659077,59.480493,60.000000
2.502400,59.500000,-0.616912,59.482366,60.000000
2.502500,59.500000,-0.588716,59.483062,60.000000
2.502600,59.500000,-0.570296,59.481162,60.000000
2.502700,59.500000,-0.521620,59.483940,60.000000
2.502800,59.500000,-0.492077,59.484994,60.000000
2.502900,59.500000,-0.465005,59.484210,60.000000
2.503000,59.500000,-0.433484,59.483137,60.000000
2.503100,59.500000,-0.384026,59.488394,60.000000
2.503200,59.500000,-0.360212,59.487788,60.000000
2.503300,59.500000,-0.323886,59.488218,60.000000
2.503400,59.500000,-0.292652,59.486336,60.000000
2.503500,59.500000,-0.253668,59.487275,60.000000
2.503600,59.500000,-0.223915,59.482909,60.000000
2.503700,59.500000,-0.166728,59.493105,60.000000
2.503800,59.500000,-0.149580,59.488261,60.000000
2.503900,59.500000,-0.122807,59.471331,60.000000
2.504000,59.500000,-0.074411,59.471929,60.000000
2.504100,59.500000,-0.034961,59.477235,60.000000
2.504200,59.500000,-0.004127,59.470415,60.000000
2.504300,59.500000,0.037436,59.473499,60.000000
2.504400,59.500000,0.068994,59.467082,60.000000
2.504500,59.500000,0.119923,59.481905,60.000000
2.504600,59.500000,0.154463,59.487482,60.000000
2.504700,59.500000,0.192749,59.490835,60.000000
2.504800,59.500000,0.235424,59.494283,60.000000
2.504900,59.500000,0.261431,59.493292,60.000000
2.505000,59.500000,0.301320,59.493279,60.000000
2.505100,59.500000,0.337651,59.493276,60.000000
2.505200,59.500000,0.353371,59.494600,60.000000
2.505300,59.500000,0.396678,59.495494,60.000000
2.505400,59.500000,0.427764,59.496381,60.000000
2.505500,59.500000,0.475860,59.494853,60.000000
2.505600,59.500000,0.511381,59.493873,60.000000
2.505700,59.500000,0.527815,59.494914,60.000000
2.505800,59.500000,0.561517,59.495217,60.000000
2.505900,59.500000,0.596383,59.494993,60.000000
2.506000,59.500000,0.633967,59.494351,60.000000
2.506100,59.500000,0.652961,59.494676,60.000000
2.506200,59.500000,0.675589,59.495119,60.000000
2.506300,59.500000,0.713980,59.494680,60.000000
2.506400,59.500000,0.728840,59.495025,60.000000
2.506500,59.500000,0.762866,59.494749,60.000000
2.506600,59.500000,0.784832,59.494725,60.000000
2.506700,59.500000,0.810880,59.494589,60.000000
2.506800,59.500000,0.827819,59.494710,60.000000
2.506900,59.500000,0.851029,59.494655,60.000000
2.507000,59.500000,0.859935,59.494996,60.000000
2.507100,59.500000,0.903516,59.494301,60.000000
2.507200,59.500000,0.905854,59.494452,60.000000
2.507300,59.500000,0.923624,59.494436,60.000000
2.507400,59.500000,0.927890,59.494752,60.000000
2.507500,59.500000,0.956613,59.494337,60.000000
2.507600,59.500000,0.959638,59.494472,60.000000
2.507700,59.500000,0.980699,59.494176,60.000000
2.507800,59.500000,0.976677,59.494486,60.000000
2.507900,59.500000,0.988269,59.494461,60.000000
2.508000,59.500000,0.986315,59.494722,60.000000
2.508100,59.500000,0.996875,59.494612,60.000000
2.508200,59.500000,0.993346,59.494813,60.000000
2.508300,59.500000,1.020535,59.494082,60.000000
2.508400,59.500000,0.995546,59.494673,60.000000
2.508500,59.500000,1.011617,59.494253,60.000000
2.508600,59.500000,0.995551,59.494627,60.000000
2.508700,59.500000,0.988909,59.494874,60.000000
2.508800,59.500000,0.994873,59.494527,60.000000
2.508900,59.500000,0.978953,59.494806,60.000000
2.509000,59.500000,0.976018,59.494698,60.000000
2.509100,59.500000,0.967112,59.494651,60.000000
2.509200,59.500000,0.968216,59.494074,60.000000
2.509300,59.500000,0.950448,59.494169,60.000000
2.509400,59.500000,0.939463,59.494086,60.000000
2.509500,59.500000,0.915377,59.494611,60.000000
2.509600,59.500000,0.910509,59.494167,60.000000
2.509700,59.500000,0.884231,59.494598,60.000000
2.509800,59.500000,0.877001,59.494019,60.000000
2.509900,59.500000,0.849034,59.494421,60.000000
2.510000,59.500000,0.825050,59.494849,60.000000
2.510100,59.500000,0.805903,59.494816,60.000000
2.510200,59.500000,0.773979,59.495648,60.000000
2.510300,59.500000,0.755544,59.495492,60.000000
2.510400,59.500000,0.730191,59.495475,60.000000
2.510500,59.500000,0.715192,59.494153,60.000000
2.510600,59.500000,0.681302,59.494434,60.000000
2.510700,59.500000,0.666573,59.492585,60.000000
2.510800,59.500000,0.606203,59.495139,60.000000
2.510900,59.500000,0.589090,59.496146,60.000000
2.511000,59.500000,0.567910,59.494872,60.000000
2.511100,59.500000,0.532664,59.494972,60.000000
2.511200,59.500000,0.494024,59.496708,60.000000
2.511300,59.500000,0.450477,59.500899,60.000000
2.511400,59.500000,0.437720,59.497531,60.000000
2.511500,59.500000,0.398653,59.496920,60.000000
2.511600,59.500000,0.376397,59.491181,60.000000
2.511700,59.500000,0.323599,59.495730,60.000000
2.511800,59.500000,0.282214,59.502943,60.000000
2.511900,59.500000,0.262622,59.498202,60.000000
2.512000,59.500000,0.234765,59.487439,60.000000
2.512100,59.500000,0.199896,59.475060,60.000000
