t,real_f,real_v,RA_EKF,IpDFT
2.500000,60.000001,0.009907,60.011094,60.000000
2.500100,60.000001,0.038773,60.006956,60.000000
2.500200,60.000001,0.083871,60.011616,60.000000
2.500300,60.000001,0.110932,60.005906,60.000000
2.500400,60.000001,0.148190,60.002425,60.000000
2.500500,60.000001,0.196922,60.007165,60.000000
2.500600,60.000001,0.237252,60.011323,60.000000
2.500700,60.000001,0.255711,60.008345,60.000000
2.500800,60.000001,0.295973,60.007804,60.000000
2.500900,60.000001,0.325699,60.007195,60.000000
2.501000,60.000001,0.372448,60.007262,60.000000
2.501100,60.000001,0.406974,60.007118,60.000000
2.501200,60.000001,0.446840,60.006582,60.000000
2.501300,60.000001,0.478647,60.006257,60.000000
2.501400,60.000001,0.489557,60.007796,60.000000
2.501500,60.000001,0.535470,60.007623,60.000000
2.501600,60.000001,0.567658,60.007417,60.000000
2.501700,60.000001,0.589124,60.008007,60.000000
2.501800,60.000001,0.630808,60.007394,60.000000
2.501900,60.000001,0.654615,60.007396,60.000000
2.502000,60.000001,0.688792,60.006982,60.000000
2.502100,60.000001,0.714987,60.006802,60.000000
2.502200,60.000001,0.734611,60.007036,60.000000
2.502300,60.000001,0.753024,60.007481,60.000000
2.502400,60.000001,0.784569,60.007311,60.000000
2.502500,60.000001,0.806193,60.007266,60.000000
2.502600,60.000001,0.838885,60.006751,60.000000
2.502700,60.000001,0.861627,60.006417,60.000000
2.502800,60.000001,0.870527,60.006643,60.000000
2.502900,60.000001,0.887867,60.006777,60.000000
2.503000,60.000001,0.902362,60.006921,60.000000
2.503100,60.000001,0.924752,60.006713,60.000000
2.503200,60.000001,0.924983,60.007128,60.000000
2.503300,60.000001,0.954351,60.006685,60.000000
2.503400,60.000001,0.968080,60.006402,60.000000
2.503500,60.000001,0.969637,60.006577,60.000000
2.503600,60.000001,0.980426,60.006576,60.000000
2.503700,60.000001,0.984248,60.006701,60.000000
2.503800,60.000001,0.991064,60.006717,60.000000
2.503900,60.000001,1.002438,60.006448,60.000000
2.504000,60.000001,1.008236,60.006214,60.000000
2.504100,60.000001,0.998794,60.006557,60.000000
2.504200,60.000001,0.993431,60.006939,60.000000
2.504300,60.000001,0.987615,60.007302,60.000000
2.504400,60.000001,1.002705,60.006676,60.000000
2.504500,60.000001,0.992704,60.006660,60.000000
2.504600,60.000001,0.986533,60.006680,60.000000
2.504700,60.000001,0.975029,60.006915,60.000000
2.504800,60.000001,0.972046,60.006742,60.000000
2.504900,60.000001,0.955582,60.007029,60.000000
2.505000,60.000001,0.952271,60.006719,60.000000
2.505100,60.000001,0.949348,60.005988,60.000000
2.505200,60.000001,0.925615,60.006280,60.000000
