t,f_hat
2.500000,58.976827
2.500100,58.976500
2.500200,58.976302
2.500300,58.975827
2.500400,58.975074
2.500500,58.975209
2.500600,58.974501
2.500700,58.974642
2.500800,58.974050
2.500900,58.973747
2.501000,58.973403
2.501100,58.972926
2.501200,58.972564
2.501300,58.972448
2.501400,58.972456
2.501500,58.971752
2.501600,58.971990
2.501700,58.971421
2.501800,58.970949
2.501900,58.970658
2.502000,58.970137
2.502100,58.969965
2.502200,58.969598
2.502300,58.969325
2.502400,58.968701
2.502500,58.968600
2.502600,58.968591
2.502700,58.968136
2.502800,58.967984
2.502900,58.967548
2.503000,58.967412
2.503100,58.966917
2.503200,58.966413
2.503300,58.966501
2.503400,58.966086
2.503500,58.965580
2.503600,58.964765
2.503700,58.964050
2.503800,58.964660
2.503900,58.964181
2.504000,58.964482
2.504100,58.964154
2.504200,58.962201
2.504300,58.962756
2.504400,58.963190
2.504500,58.962669
2.504600,58.961941
2.504700,58.962304
2.504800,58.962314
2.504900,58.961122
2.505000,58.961264
2.505100,58.963285
2.505200,58.963472
2.505300,58.964124
2.505400,58.961554
2.505500,58.961487
2.505600,58.957244
2.505700,58.961396
2.505800,58.961826
2.505900,58.958010
2.506000,58.953122
2.506100,58.962863
2.506200,58.963264
2.506300,58.975689
2.506400,58.977250
2.506500,58.979823
2.506600,58.980183
2.506700,59.001632
2.506800,58.998550
2.506900,58.995958
2.507000,59.004900
2.507100,58.996488
2.507200,58.998089
2.507300,58.997669
2.507400,58.997522
2.507500,58.997388
2.507600,58.995773
2.507700,58.996622
2.507800,58.995857
2.507900,58.995831
2.508000,58.996210
2.508100,58.995765
2.508200,58.994496
2.508300,58.994245
2.508400,58.993925
2.508500,58.993952
2.508600,58.993786
2.508700,58.993739
2.508800,58.993098
2.508900,58.992949
2.509000,58.992077
2.509100,58.991969
2.509200,58.992113
2.509300,58.992101
2.509400,58.991777
2.509500,58.991029
2.509600,58.990569
2.509700,58.990439
2.509800,58.990302
2.509900,58.989704
2.510000,58.989420
2.510100,58.988790
2.510200,58.988491
2.510300,58.988157
2.510400,58.988086
2.510500,58.987611
2.510600,58.987097
2.510700,58.987410
2.510800,58.987035
2.510900,58.986799
2.511000,58.986496
2.511100,58.986302
2.511200,58.986120
2.511300,58.985578
2.511400,58.985095
2.511500,58.984254
2.511600,58.984134
2.511700,58.984067
2.511800,58.983688
2.511900,58.983070
2.512000,58.983372
2.512100,58.983646
2.512200,58.982793
2.512300,58.982496
2.512400,58.981722
2.512500,58.981942
2.512600,58.981644
2.512700,58.981387
2.512800,58.981105
2.512900,58.980542
2.513000,58.980848
2.513100,58.980182
2.513200,58.978981
2.513300,58.979164
2.513400,58.979852
2.513500,58.978817
2.513600,58.977181
2.513700,58.976718
2.513800,58.980624
2.513900,58.980905
2.514000,58.982150
2.514100,58.978163
2.514200,58.974663
2.514300,58.979477
2.514400,58.983081
2.514500,58.981335
2.514600,58.968500
2.514700,58.957046
2.514800,58.939926
2.514900,58.945192
2.515000,58.965703
2.515100,58.959649
2.515200,58.976449
2.515300,58.985743
2.515400,58.984950
2.515500,58.976110
2.515600,58.968155
2.515700,58.965398
2.515800,58.964404
2.515900,58.963940
2.516000,58.962946
2.516100,58.963487
2.516200,58.961680
2.516300,58.960476
2.516400,58.959695
2.516500,58.958578
2.516600,58.959248
2.516700,58.959138
2.516800,58.959306
2.516900,58.959010
2.517000,58.958093
2.517100,58.957568
2.517200,58.957023
2.517300,58.957044
2.517400,58.956621
2.517500,58.956322
2.517600,58.956313
2.517700,58.955583
2.517800,58.955377
2.517900,58.954828
2.518000,58.954686
2.518100,58.954699
2.518200,58.954517
2.518300,58.953747
2.518400,58.953180
2.518500,58.953073
2.518600,58.953263
2.518700,58.952600
2.518800,58.952235
2.518900,58.952160
2.519000,58.951592
2.519100,58.951011
2.519200,58.950974
2.519300,58.950509
2.519400,58.950661
2.519500,58.950282
2.519600,58.949982
2.519700,58.949238
2.519800,58.949070
2.519900,58.948874
2.520000,58.948895
2.520100,58.948697
2.520200,58.948656
2.520300,58.948228
2.520400,58.948338
2.520500,58.947399
2.520600,58.947564
2.520700,58.946746
2.520800,58.946195
2.520900,58.947225
2.521000,58.945787
2.521100,58.945940
2.521200,58.945559
2.521300,58.945369
2.521400,58.945058
2.521500,58.943711
2.521600,58.944917
2.521700,58.942895
2.521800,58.942895
2.521900,58.942763
2.522000,58.943138
2.522100,58.943048
2.522200,58.942702
2.522300,58.945734
2.522400,58.943074
2.522500,58.938993
2.522600,58.939450
2.522700,58.937971
2.522800,58.944681
2.522900,58.941045
2.523000,58.939855
2.523100,58.951775
2.523200,58.955387
2.523300,58.950349
2.523400,58.963356
2.523500,58.962343
2.523600,58.961456
2.523700,58.939806
2.523800,58.953790
2.523900,58.953692
2.524000,58.960639
2.524100,58.969215
2.524200,58.970400
2.524300,58.970064
2.524400,58.968898
2.524500,58.968567
2.524600,58.968775
2.524700,58.968599
2.524800,58.970082
2.524900,58.968984
2.525000,58.967330
2.525100,58.967874
2.525200,58.967193
2.525300,58.966601
2.525400,58.966012
2.525500,58.965826
2.525600,58.965366
2.525700,58.965224
2.525800,58.964934
2.525900,58.964786
2.526000,58.964556
2.526100,58.964017
2.526200,58.964352
2.526300,58.963636
2.526400,58.963480
2.526500,58.963466
2.526600,58.962758
2.526700,58.962430
2.526800,58.962330
2.526900,58.961873
2.527000,58.961553
2.527100,58.961021
2.527200,58.960585
2.527300,58.960804
2.527400,58.960397
2.527500,58.960190
2.527600,58.960097
2.527700,58.959447
2.527800,58.959196
2.527900,58.958821
2.528000,58.958397
2.528100,58.958217
2.528200,58.958454
2.528300,58.957856
2.528400,58.956980
2.528500,58.956592
2.528600,58.956784
2.528700,58.956736
2.528800,58.956586
2.528900,58.956507
2.529000,58.956177
2.529100,58.956086
2.529200,58.955130
2.529300,58.954618
2.529400,58.954890
2.529500,58.954369
2.529600,58.953940
2.529700,58.953680
2.529800,58.952615
2.529900,58.954070
2.530000,58.953578
2.530100,58.952436
2.530200,58.952877
2.530300,58.953110
2.530400,58.951992
2.530500,58.952449
2.530600,58.951298
2.530700,58.948272
2.530800,58.951617
2.530900,58.949551
2.531000,58.954280
2.531100,58.956121
2.531200,58.962876
2.531300,58.961905
2.531400,58.954156
2.531500,58.944372
2.531600,58.951066
2.531700,58.948844
2.531800,58.960097
2.531900,58.980177
2.532000,58.983647
2.532100,58.996667
2.532200,58.985281
2.532300,58.999922
2.532400,59.000787
2.532500,58.994140
2.532600,58.994840
2.532700,58.997954
