t,f_hat
2.500000,59.995258
2.500100,59.995120
2.500200,59.995191
2.500300,59.994801
2.500400,59.994714
2.500500,59.994649
2.500600,59.994466
2.500700,59.994112
2.500800,59.994109
2.500900,59.993739
2.501000,59.993381
2.501100,59.993585
2.501200,59.993622
2.501300,59.993692
2.501400,59.993891
2.501500,59.994254
2.501600,59.993849
2.501700,59.993845
2.501800,59.993923
2.501900,59.993621
2.502000,59.993681
2.502100,59.993642
2.502200,59.993737
2.502300,59.993791
2.502400,59.993791
2.502500,59.993708
2.502600,59.993686
2.502700,59.993733
2.502800,59.993741
2.502900,59.993738
2.503000,59.993735
2.503100,59.993738
2.503200,59.993711
2.503300,59.993652
2.503400,59.993632
2.503500,59.993671
2.503600,59.993768
2.503700,59.993785
2.503800,59.993681
2.503900,59.993565
2.504000,59.993662
2.504100,59.993576
2.504200,59.993450
2.504300,59.993626
2.504400,59.993562
2.504500,59.993729
2.504600,59.993530
2.504700,59.993382
2.504800,59.993532
2.504900,59.993531
2.505000,59.993597
2.505100,59.993716
2.505200,59.993892
2.505300,59.993852
2.505400,59.993819
2.505500,59.994037
2.505600,59.993885
2.505700,59.993981
2.505800,59.994051
2.505900,59.993993
2.506000,59.993990
2.506100,59.994113
2.506200,59.993911
2.506300,59.994137
2.506400,59.994181
2.506500,59.994412
2.506600,59.994287
2.506700,59.994216
2.506800,59.995050
2.506900,59.994751
2.507000,59.994783
2.507100,59.995009
2.507200,59.994997
2.507300,59.995494
2.507400,59.995529
2.507500,59.995011
2.507600,59.994496
2.507700,59.994835
2.507800,59.994079
2.507900,59.993768
2.508000,59.993617
2.508100,59.993021
2.508200,59.992604
2.508300,59.993060
2.508400,59.992897
2.508500,59.992739
2.508600,59.993561
2.508700,59.993248
2.508800,59.993507
2.508900,59.994289
2.509000,59.994633
2.509100,59.995265
2.509200,59.994781
2.509300,59.995457
2.509400,59.995544
2.509500,59.994875
2.509600,59.994216
2.509700,59.994455
2.509800,59.994434
2.509900,59.994630
2.510000,59.995115
2.510100,59.995453
2.510200,59.995725
2.510300,59.995911
2.510400,59.996173
2.510500,59.996126
2.510600,59.996023
2.510700,59.996019
2.510800,59.996035
2.510900,59.996047
2.511000,59.996028
2.511100,59.996118
2.511200,59.996309
2.511300,59.996315
2.511400,59.996341
2.511500,59.996366
2.511600,59.996218
2.511700,59.996441
2.511800,59.996587
2.511900,59.996374
2.512000,59.996378
2.512100,59.996283
2.512200,59.996179
2.512300,59.996021
2.512400,59.996135
2.512500,59.996417
2.512600,59.996503
2.512700,59.996545
2.512800,59.996828
2.512900,59.996945
2.513000,59.997034
2.513100,59.997010
2.513200,59.996934
2.513300,59.996654
2.513400,59.996692
2.513500,59.996385
2.513600,59.996275
2.513700,59.996104
2.513800,59.995682
2.513900,59.995840
2.514000,59.996092
2.514100,59.996006
2.514200,59.995372
2.514300,59.995237
2.514400,59.995705
2.514500,59.995460
2.514600,59.995267
2.514700,59.995475
